"id","community","color"
"84892880478",1,"#61DCA9"
"84892877678",1,"#61DCA9"
"84892859587",2,"#9B7424"
"84892857148",1,"#61DCA9"
"84892840546",1,"#61DCA9"
"84885870456",1,"#61DCA9"
"84885854167",1,"#61DCA9"
"84885850684",1,"#61DCA9"
"84885850344",1,"#61DCA9"
"84885841979",1,"#61DCA9"
"84885834859",2,"#9B7424"
"84881617344",1,"#61DCA9"
"84881615575",4,"#944046"
"84881615462",1,"#61DCA9"
"84881613136",1,"#61DCA9"
"84881612361",1,"#61DCA9"
"84881611987",3,"#8C0172"
"84881611794",4,"#944046"
"84881609463",4,"#944046"
"84879319700",1,"#61DCA9"
"84879310997",1,"#61DCA9"
"84878950039",1,"#61DCA9"
"84878949728",1,"#61DCA9"
"84878948726",2,"#9B7424"
"84878927906",2,"#9B7424"
"84878925000",1,"#61DCA9"
"84878908555",2,"#9B7424"
"84875401167",1,"#61DCA9"
"84875400389",1,"#61DCA9"
"84875397193",2,"#9B7424"
"84875393501",1,"#61DCA9"
"84875390004",1,"#61DCA9"
"84875389628",1,"#61DCA9"
"84875386606",2,"#9B7424"
"84874578582",1,"#61DCA9"
"84874576336",3,"#8C0172"
"84874573590",3,"#8C0172"
"84874572816",3,"#8C0172"
"84874566601",1,"#61DCA9"
"84874564754",1,"#61DCA9"
"84874564291",1,"#61DCA9"
"84874563834",3,"#8C0172"
"84874560078",3,"#8C0172"
"84874557284",3,"#8C0172"
"84874557160",1,"#61DCA9"
"84874555810",1,"#61DCA9"
"84872966937",4,"#944046"
"84872961579",1,"#61DCA9"
"84872955690",1,"#61DCA9"
"84872946696",2,"#9B7424"
"84872922873",1,"#61DCA9"
"84872916259",1,"#61DCA9"
"84872898990",1,"#61DCA9"
"84872896950",1,"#61DCA9"
"84867902454",1,"#61DCA9"
"84867901839",1,"#61DCA9"
"84867901279",1,"#61DCA9"
"84867901172",1,"#61DCA9"
"84867901100",3,"#8C0172"
"84867900780",4,"#944046"
"84867899496",1,"#61DCA9"
"84867896105",1,"#61DCA9"
"84865441316",1,"#61DCA9"
